"DNP","Reference","Value","Tolerance","Datasheet","Footprint","Qty","Beschreibung"
"","C1,C2,C3,C4,C5,C8,C13","100n","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","7","Unpolarized capacitor"
"","C12","0.33u","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","Unpolarized capacitor"
"","R1,R2,R7,R8","1k","1%","","Resistor_SMD:R_0805_2012Metric","4","Resistor"
"","R3,R4,R11,R12","10k","1%","","Resistor_SMD:R_0805_2012Metric","4","Resistor"
"","R5","22k","1%","","Resistor_SMD:R_0805_2012Metric","1","Resistor"
"","R6","5.1k","1%","","Resistor_SMD:R_0805_2012Metric","1","Resistor"
"","R9,R10","2.2k","1%","","Resistor_SMD:R_0805_2012Metric","2","Resistor"
"Nicht bestücken","C6,C7,C11","47u","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","3","Polarized capacitor"
"Nicht bestücken","C9,C10","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","Unpolarized capacitor"
"Nicht bestücken","J1","CH1","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"Nicht bestücken","J2","Input","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"Nicht bestücken","J3","Output","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"Nicht bestücken","RV1","2k","","","Eigene Bibliothek:Trimpot 3006","1","Trim-potentiometer"
"Nicht bestücken","T1","TME-0305S","","https://www.tracopower.com/products/tme.pdf","Converter_DCDC:Converter_DCDC_TRACO_TME_03xxS_05xxS_12xxS_Single_THT","1","1W DC/DC converter unregulated, 2.97-3.63V input, 5V output voltage, 200mA output, 1kVDC isolation, SIP-4"
"Nicht bestücken","U1","HCPL-7800","","https://media.distrelec.com/Web/Downloads/_t/ds/Broadcom_450868_eng_tds.pdf","Package_DIP:DIP-8_W8.89mm_SMDSocket_LongPads","1",""
"Nicht bestücken","U2,U3,U4","MCP601-xP","","http://ww1.microchip.com/downloads/en/DeviceDoc/21314g.pdf","Package_DIP:DIP-8_W7.62mm","3","Single 2.7V to 6.0V Single Supply CMOS Op Amps, DIP-8"
"Nicht bestücken","U5","L7805","","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252"
